AuthID;First Name;Last Name;Birthday;Country of Residence;Hrs Writing per Day
AS443;Abraham;Stackhouse;7/1/47;Norway;6
AW980;Amelia;Wangerin, Jr.;3/26/41;New Zealand;16
AI923;Anastasia;Inez;3/30/48;New Zealand;11
AM329;Arthur;McCrumb;3/13/48;New Zealand;3
AH957;Arturo;Hijuelos;1/9/29;United Kingdom;8
BH149;Bernard;Hopf;11/27/22;United States;1
BT132;Bianca;Thompson;1/28/50;United States;5
BL857;Bravig;Lewisohn;1/21/38;United States;11
BM856;Burton;Malamud;1/18/45;Brazil;6
CS190;Carolyn;Segal;9/24/33;United States;7
CF829;Charles;Fenimore;3/18/20;Norway;7
CW626;Clifford;Wolitzer;8/1/43;United Kingdom;8
DF413;Darryl;Fleischman;12/7/31;Germany;16
DB605;David;Beam;2/26/57;United States;5,13
EH487;Elizabeth;Herbach;1/22/57;New Zealand;0
EK605;Elmer;Komroff;7/11/29;Norway;6
GG800;Gloria;Green;9/19/56;Hong Kong;8
GH671;Grace;Harrison;4/8/61;United States;6
HM751;Hamlin;Myrer;1/29/25;Brazil;9
HB302;Hillary;Barnhardt;3/7/54;New Zealand;4
JH502;Jill;Hergesheimer;6/15/56;Canada;8
JS525;John W.;Spanogle;8/10/49;United Kingdom;10
JK592;Jonathan;Kotzwinkle;2/3/51;Germany;6
KY296;Kathy;Yglesias;4/3/51;Brazil;8
KD840;Kenneth;Douglas;9/24/63;South Africa;3
KE397;Kris;Elegant;8/26/49;Hong Kong;5
LL585;Langston;Lippman;10/2/47;New Zealand;0
LN356;Leonard;Nabokov;9/29/69;United States;1
LK915;Lori;Kaan;3/27/47;China;6
LD375;Lynne;Danticat;8/19/55;New Zealand;8
MW974;Malin;Wolff;1/31/41;Hong Kong;6
OL640;Oliver;Lowry;8/29/55;Netherlands;4
PH273;Patricia;Hazzard;4/27/46;Singapore;5
PA878;Philip;Antrim;4/22/48;Netherlands;7
PB147;Phoebe;Brown;8/21/49;Hong Kong;13
RL217;R.M.;Larner;3/26/30;China;9
RM781;Robert;Milofsky;1/12/57;United States;10
RP438;Robert;Plimpton;11/11/60;Canada;13
UK129;Ursula;Karénine;2/25/56;United Kingdom;9
WH901;Ward;Haigh;10/7/53;Brazil;7
WB149;Wendell;Barton;10/25/38;United States;2
